,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MB 100, POBLACION TOTAL , VIVIENDAS TOTALES ,% POBREZA TOTAL,POBLACION POBREZA TOTAL, % POBREZA EXTREMA , POBLACION POBREZA EXTREMA , % REZAGO EDUCATIVO , POBLACION REZAGO EDUCATIVO , % CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , POBLACION CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , % CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , POBLACION CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , % CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , POBLACION CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , % CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , POBLACION CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , % CARENCIA POR ACCESO A LA ALIMENTACION , POBLACION CARENCIA POR ACCESO A LA ALIMENTACION , % Población con ingreso inferior a la línea de pobreza por ingresos , Población con ingreso inferior a la línea de pobreza por ingresos , % Población con ingreso inferior a la línea de pobreza extrema por ingresos , Población con ingreso inferior a la línea de pobreza extrema por ingresos , GRADO DE REZAGO SOCIAL , %Población de 15 años o más analfabeta , % Población de 6 a 14 años que no asiste a la escuela , % Población de 15 años y más con educación básica incompleta , % Población sin derechohabiencia a servicios de salud , % Viviendas con piso de tierra , % Viviendas que no disponen de excusado o sanitario , % Viviendas que no disponen de agua entubada de la red pública , % Viviendas que no disponen de drenaje , % Viviendas que no disponen de energía eléctrica , % Viviendas que no disponen de lavadora , % Viviendas que no disponen de refrigerador , GRADO DE MARGINACION , % Población de 15 años o más analfabeta  , % Población  de 15 años o más sin educación básica , % Ocupantes en viviendas particulares sin drenaje ni excusado , % Ocupantes en viviendas particulares sin energía eléctrica , % Ocupantes en viviendas particulares sin agua entubada , % Ocupantes en viviendas particulares con piso de tierra , % Viviendas particulares con hacinamiento , % Población en localidades con menos de 5 000 habitantes , % Población ocupada con ingresos menores a 2 salarios mínimos , % VIVIENDAS CON PAREDES DE MATERIALES ENDEBLES , % VIVIENDAS CON TECHOS DE MATERIALES ENDEBLES , FAISMUN 2023 
20001,Abejones,NO, 841 , 216 , 93.6 , 787 , 24.29 , 204 , 29.43 , 247 , 5.37 , 45 , 89.74 , 755 , 21.25 , 179 , 36.39 , 306 , 36.51 , 307 , 93.70 , 788 , 70.69 , 594 ,Medio, 21.64 , 2.53 , 52.46 , 5.23 , 15.74 , 0.46 , 0.46 , 22.69 , 1.85 , 77.78 , 42.59 ,Alto, 21.7 , 52.6 , 0.1 , 1.1 , 0.1 , 13.5 , 24.5 , 100.0 , 94.0 , 0.92 , 0.92 ," 4,407,784 "
20002,Acatlán de Pérez Figueroa,SI," 45,167 "," 12,999 ", 59.4 ," 23,820 ", 18.55 ," 7,438 ", 31.45 ," 12,609 ", 34.87 ," 13,982 ", 68.81 ," 27,588 ", 14.34 ," 5,750 ", 57.57 ," 23,081 ", 27.94 ," 11,201 ", 62.44 ," 25,034 ", 27.66 ," 11,088 ",Bajo, 12.80 , 5.33 , 50.26 , 26.25 , 8.60 , 5.16 , 8.04 , 20.20 , 1.60 , 39.09 , 17.42 ,Medio, 12.8 , 50.3 , 4.0 , 1.1 , 8.6 , 8.5 , 27.4 , 70.4 , 88.4 , 1.82 , 0.47 ," 71,769,806 "
20003,Asunción Cacalotepec,NO," 2,547 ", 794 , 90.4 ," 2,303 ", 34.73 , 885 , 32.04 , 816 , 23.41 , 597 , 73.78 ," 1,880 ", 30.54 , 778 , 85.34 ," 2,175 ", 7.78 , 198 , 91.61 ," 2,334 ", 66.42 ," 1,692 ",Muy alto, 20.71 , 3.07 , 55.78 , 23.79 , 25.82 , 1.76 , 8.31 , 67.51 , 3.78 , 94.84 , 73.55 ,Alto, 20.7 , 56.0 , 1.3 , 3.4 , 7.8 , 24.8 , 27.2 , 100.0 , 90.5 , 9.82 , 0.13 ," 9,071,731 "
20004,Asunción Cuyotepeji,NO," 1,107 ", 339 , 63.2 , 701 , 15.77 , 175 , 26.20 , 290 , 28.04 , 311 , 71.22 , 789 , 13.38 , 148 , 40.04 , 444 , 14.48 , 160 , 68.06 , 754 , 32.06 , 355 ,Bajo, 8.30 , 3.64 , 46.09 , 27.91 , 6.19 , 7.08 , 1.47 , 9.44 , 1.18 , 51.92 , 24.19 ,Medio, 8.3 , 46.1 , 3.8 , 0.6 , 0.6 , 5.6 , 20.4 , 100.0 , 87.7 , 1.76 , -   ," 2,953,047 "
20005,Asunción Ixtaltepec,NO," 15,261 "," 4,934 ", 31.0 ," 4,615 ", 4.55 , 678 , 24.20 ," 3,607 ", 25.72 ," 3,835 ", 54.50 ," 8,125 ", 8.54 ," 1,274 ", 38.67 ," 5,765 ", 28.65 ," 4,271 ", 33.22 ," 4,952 ", 7.57 ," 1,128 ",Bajo, 11.38 , 3.04 , 41.85 , 21.85 , 2.98 , 1.91 , 2.53 , 2.11 , 1.54 , 33.20 , 15.38 ,Bajo, 11.4 , 41.9 , 1.3 , 1.0 , 2.4 , 3.3 , 20.2 , 50.1 , 68.7 , 3.40 , 0.27 ," 16,077,987 "
20006,Asunción Nochixtlán,NO," 20,464 "," 5,306 ", 75.9 ," 14,952 ", 22.15 ," 4,364 ", 15.31 ," 3,016 ", 44.29 ," 8,726 ", 78.40 ," 15,444 ", 16.29 ," 3,208 ", 48.59 ," 9,572 ", 16.76 ," 3,303 ", 79.31 ," 15,625 ", 49.08 ," 9,668 ",Bajo, 6.06 , 3.32 , 33.14 , 34.11 , 12.59 , 1.38 , 12.66 , 16.51 , 3.68 , 43.65 , 31.30 ,Medio, 6.1 , 33.2 , 1.0 , 3.1 , 11.9 , 12.6 , 31.3 , 22.5 , 82.1 , 5.73 , 0.29 ," 31,821,901 "
20007,Asunción Ocotlán,SI," 2,395 ", 767 , 83.6 ," 2,003 ", 41.15 , 986 , 54.43 ," 1,304 ", 43.33 ," 1,038 ", 77.15 ," 1,849 ", 60.60 ," 1,452 ", 82.90 ," 1,986 ", 25.59 , 613 , 83.75 ," 2,007 ", 47.27 ," 1,133 ",Muy alto, 31.58 , 3.22 , 75.35 , 43.47 , 54.37 , 3.39 , 5.35 , 57.76 , 2.35 , 68.32 , 40.55 ,Muy alto, 31.6 , 75.3 , 2.2 , 1.8 , 6.0 , 54.7 , 27.5 , 100.0 , 95.9 , 27.38 , 0.13 ," 10,666,087 "
20008,Asunción Tlacolulita,NO, 734 , 268 , 70.4 , 517 , 17.61 , 129 , 33.85 , 248 , 23.22 , 170 , 68.25 , 501 , 25.45 , 187 , 57.34 , 421 , 11.33 , 83 , 73.14 , 537 , 32.90 , 242 ,Medio, 8.70 , 14.29 , 63.48 , 23.16 , 11.19 , 3.36 , 2.61 , 3.73 , 1.87 , 59.70 , 23.88 ,Medio, 8.7 , 63.8 , 2.6 , 2.7 , 2.5 , 12.7 , 16.4 , 100.0 , 93.6 , -   , 1.12 ," 2,729,983 "
20009,Ayotzintepec,NO," 6,857 "," 1,944 ", 94.2 ," 6,459 ", 45.30 ," 3,108 ", 30.15 ," 2,068 ", 14.66 ," 1,006 ", 90.85 ," 6,232 ", 18.55 ," 1,273 ", 59.97 ," 4,114 ", 60.42 ," 4,145 ", 95.63 ," 6,560 ", 72.77 ," 4,992 ",Medio, 12.73 , 4.25 , 59.68 , 22.62 , 8.54 , 1.29 , 6.58 , 20.63 , 1.65 , 70.27 , 33.59 ,Alto, 12.7 , 59.7 , 1.0 , 1.2 , 7.3 , 8.4 , 29.4 , 100.0 , 94.2 , 1.87 , 0.71 ," 19,363,856 "
20010,El Barrio de la Soledad,NO," 13,474 "," 4,332 ", 23.1 ," 3,357 ", 4.62 , 670 , 19.48 ," 2,826 ", 32.51 ," 4,716 ", 39.23 ," 5,692 ", 8.19 ," 1,189 ", 24.82 ," 3,601 ", 19.53 ," 2,834 ", 26.47 ," 3,841 ", 7.30 ," 1,059 ",Muy bajo, 6.12 , 3.89 , 33.85 , 20.02 , 1.75 , 2.03 , 2.29 , 2.22 , 0.74 , 23.08 , 9.51 ,Bajo, 6.1 , 33.9 , 1.5 , 0.6 , 2.2 , 1.5 , 14.8 , 100.0 , 74.5 , 1.24 , 0.35 ," 11,954,461 "
